feature,mean_within_date_std,p10_within_date_std,p50_within_date_std,p90_within_date_std,nonzero_date_ratio,use_for_model
int_sector_beta_hinge_neg_us_smallcap_return_k1_5_beta252,1.4098795239856635e-05,0.0,0.0,0.0,0.07057911065149948,False
int_sector_static_hinge_pos_us_tech_return_k2_0,0.002519750353761249,0.0,0.0,0.0,0.024371667936024372,False
int_sector_beta_hinge_pos_us_tech_return_k2_0_beta120,3.3586580081148457e-06,0.0,0.0,0.0,0.024371667936024372,False
int_sector_beta_hinge_pos_us_tech_return_k2_0_beta252,5.390859784486654e-06,0.0,0.0,0.0,0.02481902792140641,False
int_sector_static_hinge_pos_us_semiconductor_return_k2_0,0.001779658096085967,0.0,0.0,0.0,0.02513328255902513,False
int_sector_beta_hinge_pos_us_semiconductor_return_k2_0_beta120,4.362600118569707e-06,0.0,0.0,0.0,0.02513328255902513,False
int_sector_beta_hinge_pos_us_semiconductor_return_k2_0_beta252,6.865601438988173e-06,0.0,0.0,0.0,0.02559462254395036,False
int_sector_static_hinge_pos_us_energy_return_k2_0,0.001071278449811282,0.0,0.0,0.0,0.0231023102310231,False
int_sector_beta_hinge_pos_us_energy_return_k2_0_beta120,3.7499685272413798e-06,0.0,0.0,0.0,0.0231023102310231,False
int_sector_beta_hinge_pos_us_energy_return_k2_0_beta252,6.801388597654021e-06,0.0,0.0,0.0,0.02326783867631851,False
int_sector_static_hinge_pos_us_financial_return_k2_0,0.0023345698369394443,0.0,0.0,0.0,0.023356181772023355,False
int_sector_beta_hinge_pos_us_financial_return_k2_0_beta120,3.659101670291462e-06,0.0,0.0,0.0,0.023356181772023355,False
int_sector_beta_hinge_pos_us_financial_return_k2_0_beta252,5.4172739480937485e-06,0.0,0.0,0.0,0.023784901758014478,False
int_sector_static_hinge_pos_us_industrial_return_k2_0,0.003200910756072814,0.0,0.0,0.0,0.0231023102310231,False
int_sector_beta_hinge_pos_us_industrial_return_k2_0_beta120,3.0895169918591876e-06,0.0,0.0,0.0,0.0231023102310231,False
int_sector_beta_hinge_pos_us_industrial_return_k2_0_beta252,4.514736893864229e-06,0.0,0.0,0.0,0.023526370217166494,False
int_sector_static_hinge_pos_us_healthcare_return_k2_0,0.0013686559986986608,0.0,0.0,0.0,0.023863924854023864,False
int_sector_beta_hinge_pos_us_healthcare_return_k2_0_beta120,2.389716058677071e-06,0.0,0.0,0.0,0.023863924854023864,False
int_sector_beta_hinge_pos_us_healthcare_return_k2_0_beta252,3.881760886166281e-06,0.0,0.0,0.0,0.024301964839710446,False
int_sector_static_hinge_pos_us_smallcap_return_k2_0,0.002140695325503823,0.0,0.0,0.0,0.02284843869002285,False
int_sector_beta_hinge_pos_us_smallcap_return_k2_0_beta120,2.7555136641039976e-06,0.0,0.0,0.0,0.02284843869002285,False
int_sector_beta_hinge_pos_us_smallcap_return_k2_0_beta252,4.173610333056059e-06,0.0,0.0,0.0,0.02326783867631851,False
int_sector_static_hinge_neg_us_tech_return_k2_0,0.005343386203204268,0.0,0.0,0.0,0.04341203351104341,False
int_sector_beta_hinge_neg_us_tech_return_k2_0_beta120,4.6996722667263655e-06,0.0,0.0,0.0,0.04341203351104341,False
int_sector_beta_hinge_neg_us_tech_return_k2_0_beta252,8.040781971319878e-06,0.0,0.0,0.0,0.04317476732161324,False
int_sector_static_hinge_neg_us_semiconductor_return_k2_0,0.003404896958889623,0.0,0.0,0.0,0.04036557501904037,False
int_sector_beta_hinge_neg_us_semiconductor_return_k2_0_beta120,6.209876029221191e-06,0.0,0.0,0.0,0.04036557501904037,False
int_sector_beta_hinge_neg_us_semiconductor_return_k2_0_beta252,1.1148487478321285e-05,0.0,0.0,0.0,0.039555325749741466,False
int_sector_static_hinge_neg_us_energy_return_k2_0,0.0023520384913975996,0.0,0.0,0.0,0.036811373445036814,False
int_sector_beta_hinge_neg_us_energy_return_k2_0_beta120,7.200519489029293e-06,0.0,0.0,0.0,0.036811373445036814,False
int_sector_beta_hinge_neg_us_energy_return_k2_0_beta252,1.1547224452861546e-05,0.0,0.0,0.0,0.036970010341261635,False
int_sector_static_hinge_neg_us_financial_return_k2_0,0.005008826128458044,0.0,0.0,0.0,0.03655750190403656,False
int_sector_beta_hinge_neg_us_financial_return_k2_0_beta120,5.7584504348681795e-06,0.0,0.0,0.0,0.03655750190403656,False
int_sector_beta_hinge_neg_us_financial_return_k2_0_beta252,9.074353806631966e-06,0.0,0.0,0.0,0.036970010341261635,False
int_sector_static_hinge_neg_us_industrial_return_k2_0,0.007085573198691887,0.0,0.0,0.0,0.03884234577303884,False
int_sector_beta_hinge_neg_us_industrial_return_k2_0_beta120,5.206892391563962e-06,0.0,0.0,0.0,0.03884234577303884,False
int_sector_beta_hinge_neg_us_industrial_return_k2_0_beta252,8.00043486591152e-06,0.0,0.0,0.0,0.03929679420889348,False
int_sector_static_hinge_neg_us_healthcare_return_k2_0,0.0027156688582755002,0.0,0.0,0.0,0.039603960396039604,False
int_sector_beta_hinge_neg_us_healthcare_return_k2_0_beta120,3.847766436757619e-06,0.0,0.0,0.0,0.039603960396039604,False
int_sector_beta_hinge_neg_us_healthcare_return_k2_0_beta252,5.948516476739581e-06,0.0,0.0,0.0,0.04007238883143743,False
int_sector_static_hinge_neg_us_smallcap_return_k2_0,0.004540310134706431,0.0,0.0,0.0,0.03401878649403402,False
