oos_rank,is_sharpe_best,oos_sharpe_best
24,9.494047395320319,7.209970541229205
4,10.03944898959955,6.868748933082481
6,9.487941306161634,7.408951253523861
7,9.534461420231542,7.391079850806052
4,9.088550818789193,7.694429273084166
19,9.646671104417333,7.127133982648764
7,9.68484803358693,7.229766994360091
5,9.25444281197719,7.5202080988182285
22,9.849847637171873,6.921268470912776
9,9.325515440553373,7.494508160490315
16,9.881014714145952,6.987216203898805
1,9.452137754028275,7.35934957804039
18,9.871885614667187,6.899822383195112
18,10.263780619548882,6.665210292045405
15,9.835849201806873,7.004232654253638
22,9.991940440748975,6.796217299953952
11,10.01642112385621,6.836772799322266
19,9.62254164483415,7.105720959682745
24,10.235053969292911,6.497165484306109
4,9.82050382476737,7.033214268027979
4,9.428322495751905,7.37020264374344
11,9.593093850773831,7.19315536866839
1,9.608986185888782,7.213705564200558
4,9.241234450179123,7.5200233822973805
24,9.833323160561283,6.864166803917392
15,9.781592431139554,7.087888010278022
17,9.935090125575721,6.912112687506411
8,9.951922987702009,6.927140131056319
18,9.556342310883776,7.190329424562653
23,10.11267129402253,6.633870703835806
10,9.53136806147355,7.274025802507696
1,9.557160823999306,7.280200368386322
18,9.186311935069108,7.546211781905577
24,9.74470663897406,6.96437359591664
2,9.710896929412083,7.118272178366155
18,9.343123387476897,7.385749374961268
24,9.94797673733778,6.754780086400164
2,9.39370049510495,7.428218892282666
24,9.92874724507732,6.775322599241154
24,9.576343822544533,7.11923100158005
10,9.83099237704515,7.087675278116622
21,9.417347180957941,7.330470546256599
19,9.58217039007191,7.202227615865431
5,9.624818368233102,7.249423742784023
24,9.228602557659539,7.424020737889357
24,9.825048644952593,6.911731796199466
14,9.809941265672235,7.156459412568515
16,9.95791090522807,6.980956818171384
14,9.991933384737557,6.981575300914951
15,9.548405692742822,7.238462898881657
23,10.119630852628065,6.694885775756819
12,9.529520393435176,7.318339273089837
11,9.579846663494148,7.320202487976129
