trade_date,rolling_250d_sortino,expanding_sortino
2019-01-16,14.764707064051237,51.80836613379912
2019-01-17,14.555004528182858,51.78621688981231
2019-01-18,14.308959099378637,51.511442328035905
2019-01-21,13.84865963557317,51.45783911579281
2019-01-23,13.815535031758289,51.45332858070758
2019-01-24,13.80601517658233,51.45802029297852
2019-01-25,14.032367873082647,51.44034192898156
2019-01-28,13.9881324950662,51.414170295677714
2019-01-29,14.286284156196812,51.558857836484236
2019-01-30,14.216252565226466,51.49330186041669
2019-01-31,14.090451783113435,51.4032556169775
2019-02-01,13.831212160089066,51.37654453240969
2019-02-04,13.564862552706103,51.35437525804699
2019-02-05,13.545588739423982,51.35952054911541
2019-02-06,13.476953682940197,51.27358243992982
2019-02-07,15.569958396934117,51.257836387093654
2019-02-08,15.114573668596616,51.202808023396734
2019-02-12,14.183586525801825,50.927986441996936
2019-02-13,13.920262059040411,50.896580534504615
2019-02-14,13.183240128109345,50.86404834533568
2019-02-15,13.202258966620805,50.845187792669606
2019-02-18,12.767957661720072,50.82196740300847
2019-02-20,12.729368625176479,50.84209573923938
2019-02-21,12.476997233284319,50.833710886238606
2019-02-22,12.499179747015528,50.80275189474524
2019-02-25,11.998012283495216,50.353359323396774
2019-02-26,11.88687802321245,50.27926077466943
2019-02-27,11.787851841183821,50.221924431714825
2019-02-28,11.849205176369749,50.193239127017016
2019-03-01,11.760046632191381,50.17675903227776
2019-03-04,11.786725023029831,50.16066637459234
2019-03-05,11.916218388603877,50.15179413381796
2019-03-06,12.035809819782775,50.14509855465797
2019-03-07,12.163392945237785,50.14014422175874
2019-03-08,11.934322369577888,50.11461896546974
2019-03-11,11.659994392372976,50.016167283898355
2019-03-12,11.723107802583208,50.00113455141435
2019-03-13,11.714527666875794,49.98073485030497
2019-03-14,11.733544997619218,50.00710717304624
2019-03-15,11.439588071017216,49.87637892071828
2019-03-18,11.437545281070177,49.8568581086989
2019-03-19,11.43853938123097,49.84656257427145
2019-03-20,11.577965927426943,49.86439966194973
2019-03-22,10.89531305032879,48.90726272941262
2019-03-25,11.212369181394989,48.98378026311112
2019-03-26,11.328148390349707,49.03076474020253
2019-03-27,11.17359927562394,48.84712989835239
2019-03-28,11.116981128819928,48.789383680637954
2019-03-29,10.656156669319133,48.76612450114085
2019-04-01,10.557653814584956,48.764242746348316
2019-04-02,11.343631376835726,48.77407875714319
2019-04-03,11.167055598650713,48.70824672847604
2019-04-04,11.22617137435349,48.72154725569486
2019-04-05,11.187436415766944,48.73475100560772
2019-04-08,10.967870450027009,48.702554987549185
2019-04-09,11.183124981000729,48.75594732633759
2019-04-10,10.892186455682717,48.56755756896222
2019-04-11,10.888877664764943,48.57174012448156
2019-04-12,10.932314649935346,48.60985265730313
2019-04-15,11.092938448210639,48.656795421062334
2019-04-16,11.425145743797705,48.66058350315465
2019-04-17,11.507036406377482,48.67096810553367
2019-04-18,11.507708313848388,48.692824696005275
2019-04-19,11.565801022277597,48.671764092887
2019-04-23,11.685070945117218,48.69450139524794
2019-04-24,11.816072541225857,48.6800568348621
2019-04-25,11.712075877343011,48.68225261392375
2019-04-26,11.762662238537452,48.678591794135194
2019-05-07,11.967779529076248,48.74321005584912
2019-05-08,12.197162375208459,48.75892630127418
2019-05-09,12.490669802277404,48.89662688698792
2019-05-10,12.41573089524035,48.79821464328673
2019-05-13,12.363819153541876,48.7764866539371
2019-05-14,12.710248708484412,48.868658171116245
2019-05-15,12.361743081924974,48.65255521779616
2019-05-16,12.097771665770178,48.64220575776685
2019-05-17,12.0706195892212,48.60463722037967
2019-05-20,12.5075478292132,48.727402253308156
2019-05-21,12.349870187323567,48.70311053546937
2019-05-22,12.467260544746567,48.69990333178255
2019-05-23,12.526008993683686,48.69047967837004
2019-05-24,12.428674823918078,48.679915718479165
2019-05-27,12.209535344109208,48.6429905537535
2019-05-29,12.210661634914077,48.66916080734803
2019-05-30,12.069731400359986,48.467889437273385
2019-05-31,12.05914372133519,48.478970815898585
2019-06-03,12.494160688073137,48.57149908272394
2019-06-04,12.434792023838265,48.57266120646679
2019-06-05,12.77688655682355,48.68149444357139
2019-06-06,12.66590883309864,48.66386298804984
2019-06-07,12.63441064926723,48.64758250997999
2019-06-10,12.410403035678202,48.51761277948752
2019-06-11,12.345596609296129,48.503332771264674
2019-06-12,12.32421602005736,48.47928700908975
2019-06-13,12.395280961402099,48.42915344866398
2019-06-14,12.307840133678697,48.45706319707463
2019-06-17,12.530397650804403,48.422483690201
2019-06-18,12.628579420178642,48.38589472071246
2019-06-19,12.360087213290889,48.33846262387597
2019-06-20,12.272411203661914,48.264887600718666
2019-06-21,12.149788433913653,48.25024498959428
2019-06-24,12.093743693308443,48.246634219159084
2019-06-25,12.471435677752558,48.37898433080459
2019-06-26,12.430621730854025,48.358372250321345
2019-06-27,12.389545742709863,48.35992737147594
2019-06-28,12.479968814537553,48.39265526523159
2019-07-01,12.659771697284624,48.450860968774954
2019-07-02,12.53348559840408,48.44798490463427
2019-07-03,12.640218259011089,48.47562657602308
2019-07-04,12.522033260068309,48.45390938876562
2019-07-08,12.83944776304728,48.53159435591724
2019-07-09,12.791559431172757,48.536242130628594
2019-07-10,12.078824907125556,48.33269234959746
2019-07-11,12.021061886334152,48.35554063709495
2019-07-12,13.687140322518948,48.342157747670704
2019-07-16,13.714093717105197,48.3460396399677
2019-07-17,13.729671614596567,48.310459099877455
2019-07-18,14.103508891675228,48.41390007315423
2019-07-19,14.101352426988843,48.436445612772864
2019-07-22,14.021247642854929,48.40770084793155
2019-07-23,13.962667071671087,48.4019634531279
2019-07-24,14.046801497161685,48.38628320210141
2019-07-25,13.51691480362201,48.363800464845795
2019-07-26,13.941266966297581,48.39474096161047
2019-07-29,13.974833860042608,48.403113293504255
2019-07-30,14.26587820311511,48.40016679775206
2019-07-31,14.277791559773942,48.3816481921886
2019-08-01,14.22116501449209,48.38661105455216
2019-08-02,14.473749631297135,48.48217839306244
2019-08-05,15.288262819861473,48.51704980133274
2019-08-06,15.851117540235094,48.65683285441316
2019-08-07,16.063005254548038,48.61037655565199
2019-08-08,16.422226340258387,48.606511731595894
2019-08-09,17.035366573243945,48.75113649082469
2019-08-13,17.524626746055173,48.84168830440599
2019-08-14,17.451903001723267,48.82153767027873
2019-08-15,18.08879447739076,48.91457931513827
2019-08-16,18.046102657427625,48.893626607663236
2019-08-19,18.493238776559533,48.87008069445521
2019-08-20,18.30706484579041,48.85341711084502
2019-08-21,18.699349447552052,48.90007335436368
2019-08-22,18.80012536976098,48.905210298149925
2019-08-23,18.832502449376914,48.89290641907098
2019-08-26,20.983104299928133,48.98137429300268
2019-08-27,21.241738856090848,49.02628147374104
2019-08-28,21.362713255714617,49.00686902886214
2019-08-29,22.114491160118078,48.98274541110331
2019-08-30,21.717104905286146,48.82715089869806
2019-09-02,21.627237928000824,48.83848238696601
2019-09-04,21.47243228675445,48.828182603561444
2019-09-05,21.23460760768182,48.782554400933456
2019-09-06,21.14530720551557,48.76746271400524
2019-09-09,21.17995271154551,48.736268861473185
2019-09-10,21.140206338700093,48.69702979182971
2019-09-11,20.593327584615864,48.40099290842007
2019-09-12,20.664300121589406,48.39771699089672
2019-09-13,22.260855661197596,48.68418693004683
2019-09-17,21.950201500260025,48.598312740846
2019-09-18,21.864834420347567,48.538592622968274
2019-09-19,21.959925328095924,48.55645599193168
2019-09-20,21.800037207118105,48.557927531769224
2019-09-24,21.98815507126003,48.57150874598774
2019-09-25,22.149807868329166,48.56415580733931
2019-09-26,22.231624585933716,48.5381661971498
2019-09-27,22.288744006306572,48.54530503299126
2019-09-30,22.44008446465685,48.57090220313106
2019-10-01,22.357312866007096,48.57505135575128
2019-10-02,22.70206769099848,48.646260553274054
2019-10-03,23.03176598294132,48.68296582979778
2019-10-04,22.99681498233656,48.69418120025381
2019-10-07,23.033494770930247,48.68181782751963
2019-10-08,22.543862151510357,48.64886335324366
2019-10-09,23.052677910299963,48.66934420736592
2019-10-10,23.157786527121537,48.64902871394024
2019-10-11,26.454424888262203,48.64659760833879
2019-10-15,26.537515595467767,48.643252012374
2019-10-16,26.772926512514474,48.67576807673747
2019-10-17,26.493018759853456,48.67313064595428
2019-10-18,26.260910626496166,48.66699675446913
2019-10-21,25.81759941539843,48.6408534757671
2019-10-23,25.664060331712108,48.581924623577066
2019-10-24,25.553823342188622,48.59654942252868
2019-10-25,25.646808283252284,48.619264740794875
2019-10-28,25.750932426380245,48.63235487164078
2019-10-29,25.826664213706593,48.63453117826513
2019-10-30,25.909324688701872,48.631238240570944
2019-10-31,25.84183296830222,48.61377966744438
2019-11-01,26.709161342947905,48.61747149926795
2019-11-05,26.467806991213784,48.65927447643054
2019-11-06,26.13966104995539,48.62809830211994
2019-11-07,26.297807930595415,48.658181098826326
2019-11-08,27.514464344004512,48.881550040461775
2019-11-11,27.5377723388789,48.856952027583795
2019-11-12,27.433152194447377,48.84386797773481
2019-11-13,27.32868015341799,48.82432683194417
2019-11-14,27.00815373523284,48.79659856901408
2019-11-15,26.879529409478216,48.82144998515695
2019-11-18,25.52698118409792,48.469940838212686
