trade_date,long_pnl,short_pnl,long_gross,short_gross
2023-05-18,-0.001962693370278711,-0.005732222241784823,0.9999999999999998,0.9999999999999998
2023-05-19,-0.00705913340259116,0.0021983153006281202,1.0,1.0
2023-05-22,0.012468927852191149,-0.0015556123041292158,0.9999999999999998,0.9999999999999998
2023-05-23,-0.008868027880710588,0.005914137059548007,0.9999999999999999,0.9999999999999999
2023-05-24,6.026434900089988e-05,-0.008061451253341198,1.0,1.0
2023-05-25,0.006062356869837469,3.3968190199918855e-05,1.0,1.0
2023-05-26,-0.009316088568351633,-0.00043600488103040275,0.9999999999999998,0.9999999999999998
2023-05-29,-0.0013152057816975156,0.012762326614400306,1.0,1.0
2023-05-31,-0.006963132769409468,-0.0002433120426869804,0.9999999999999998,0.9999999999999998
2023-06-01,0.015627850746616784,-0.0020476516761567965,0.9999999999999997,0.9999999999999998
2023-06-02,0.010942151024280429,-0.013697560537749905,0.9999999999999998,0.9999999999999999
2023-06-05,-0.0023012160423879725,-0.002665292315597491,0.9999999999999999,0.9999999999999998
2023-06-06,0.02075809388406868,-0.0110145176750657,1.0,1.0
2023-06-07,-0.003612093205794047,0.011226274834306582,0.9999999999999996,0.9999999999999996
2023-06-08,-0.008203194232099394,0.006837279742402304,0.9999999999999999,0.9999999999999998
2023-06-09,0.00748137035828933,-0.0010992408420029578,0.9999999999999998,0.9999999999999998
2023-06-12,0.0019677001203525658,0.0020041362991845397,0.9999999999999996,0.9999999999999996
2023-06-13,0.004336749258902978,-0.003578174088350137,0.9999999999999998,0.9999999999999999
2023-06-14,0.0032071648329767563,-0.016037315465279173,0.9999999999999996,0.9999999999999996
2023-06-15,0.00716055022092697,0.00016310325234635445,0.9999999999999998,0.9999999999999999
2023-06-16,0.00819961085492364,-0.0025426539302571987,0.9999999999999997,0.9999999999999998
2023-06-19,-0.007595371731905874,0.019552676491740348,1.0,1.0
2023-06-21,0.035360015589860676,-0.007254341591896013,1.0,0.9999999999999999
2023-06-22,-0.00043747867573287654,-0.000556925585869662,0.9999999999999999,1.0
2023-06-23,-0.012793517114347168,0.013073272287671245,0.9999999999999998,0.9999999999999998
2023-06-26,0.004160504820001401,0.0018096297911241045,1.0,1.0
2023-06-27,-0.0014535756232200384,0.003862216771764777,1.0,1.0
2023-06-28,0.016033513242633413,-0.003667096394194774,0.9999999999999998,0.9999999999999998
2023-06-29,-0.0040958424403979565,0.00894559163343311,0.9999999999999998,0.9999999999999998
2023-06-30,-0.00287531167610306,0.005591300566451641,0.9999999999999999,0.9999999999999998
2023-07-03,0.008044611305615299,-0.008974564642954373,1.0,1.0
2023-07-04,-0.013355840577115512,-0.0016214601126294215,1.0,1.0
2023-07-06,-0.003856988716883466,0.00994826179512718,0.9999999999999997,0.9999999999999999
2023-07-07,0.0026175362327934826,0.003116483307805475,1.0,1.0
2023-07-10,-0.005982793633991776,0.011638380134687366,1.0,1.0
2023-07-11,-0.007225777387326951,0.01219996233802731,1.0,1.0
2023-07-12,-0.004431404427526323,0.011646677185406275,1.0,1.0
2023-07-13,0.0006612009366307885,-0.008787179618255661,0.9999999999999996,0.9999999999999996
2023-07-14,-0.003997331503947963,0.016610091192092936,0.9999999999999996,0.9999999999999996
2023-07-18,0.0034423320948718666,-0.007654730190251497,0.9999999999999998,0.9999999999999998
2023-07-19,0.0011933853377224862,-0.006717702193401521,1.0,1.0
2023-07-20,-0.003322199385548185,0.0009586983245798234,1.0,1.0
2023-07-21,0.012991747239859339,0.001815004145575718,0.9999999999999998,0.9999999999999998
2023-07-24,0.007153358892216407,-0.0005968440756276901,0.9999999999999998,0.9999999999999998
2023-07-25,0.004603597759498128,-0.007172552241534213,0.9999999999999998,0.9999999999999998
2023-07-26,-0.0007272738523658314,0.00020373741465886666,1.0,1.0
2023-07-27,0.006304168654072377,-0.004432173974494888,0.9999999999999998,0.9999999999999999
2023-07-28,0.009603267201729387,-0.017535096869996925,0.9999999999999999,0.9999999999999999
2023-07-31,0.001475455310264892,-0.0016038051354400186,0.9999999999999998,0.9999999999999998
2023-08-01,-0.0012297426609613241,-0.007085996103654133,0.9999999999999997,0.9999999999999998
2023-08-02,-0.010201830949002576,0.008013484172578376,0.9999999999999997,0.9999999999999996
2023-08-03,0.004132316571127739,0.008288965570136,0.9999999999999998,0.9999999999999998
2023-08-04,0.013360184523567287,-0.0046869387683137215,0.9999999999999998,0.9999999999999998
2023-08-07,0.009182142544895553,-0.007583611929351972,0.9999999999999999,1.0
2023-08-08,0.0006192289591800309,-0.0009021278635505878,1.0,1.0
2023-08-09,-0.008391275148841986,0.000591920253201901,1.0,0.9999999999999999
2023-08-10,0.012044320805017293,-0.026268802717037205,0.9999999999999998,0.9999999999999997
2023-08-14,-0.012429414776086438,0.007890133997198491,1.0,1.0
2023-08-15,0.0016202395873068202,0.0028972897321904913,1.0,1.0
2023-08-16,-0.0016113441306091483,0.003633027585439168,1.0,1.0
2023-08-17,0.0037813004733484564,0.005476575836969822,1.0,1.0
2023-08-18,-0.0016274796324504334,0.0031971755652799904,0.9999999999999998,0.9999999999999998
2023-08-21,0.002283865355326676,0.0007200522347820145,0.9999999999999998,0.9999999999999998
2023-08-22,0.003911013059198236,-0.009575771130565437,0.9999999999999998,0.9999999999999999
2023-08-23,0.010370117884605092,-0.004324282364075295,0.9999999999999998,0.9999999999999998
2023-08-24,0.008275937022002872,-0.004114811397011638,1.0,1.0
2023-08-25,0.004927553470369821,-0.0019202781447042105,1.0,1.0
2023-08-28,0.00735626436471184,-0.008582999085145773,0.9999999999999997,0.9999999999999998
2023-08-29,0.00020625809376104896,0.0011187124988753566,1.0,1.0
2023-08-30,-0.0010949099961830514,-0.00015188376377726063,0.9999999999999999,0.9999999999999999
2023-08-31,0.006743859710136606,-0.004643393755116027,0.9999999999999998,0.9999999999999998
2023-09-01,0.012572805335007545,-0.0118350795686196,1.0,1.0
2023-09-04,0.0030125439651811966,0.00042020640482255504,1.0,1.0
2023-09-06,0.004528630787062573,0.0008893655559449347,0.9999999999999999,1.0
2023-09-07,-0.0010984810425117232,-0.0003241361262905837,0.9999999999999998,0.9999999999999999
2023-09-08,0.0034673457334598893,0.011184363235263717,0.9999999999999998,0.9999999999999998
2023-09-11,-0.011756387084883793,-0.0075438536734105666,0.9999999999999998,0.9999999999999998
2023-09-12,0.007553249767151836,-0.001062242621228524,0.9999999999999999,0.9999999999999998
2023-09-13,-0.0021681449334744474,0.004874826917611425,0.9999999999999999,0.9999999999999998
2023-09-14,0.008985527660667653,-0.005750102186487674,0.9999999999999998,0.9999999999999998
2023-09-15,0.006211203822838419,-0.005704276186581479,0.9999999999999998,0.9999999999999998
2023-09-19,0.013439361689255202,-0.004917825939132257,0.9999999999999997,0.9999999999999999
2023-09-20,-0.007864954053031396,0.019219776724080286,1.0,1.0
2023-09-21,0.006488116211032973,0.0018923655968721687,1.0,0.9999999999999999
2023-09-22,0.013287059680875814,0.0036499638859814193,0.9999999999999999,0.9999999999999998
2023-09-25,-0.006310408746051595,-0.0032953838869749863,0.9999999999999996,0.9999999999999996
2023-09-26,-0.0008671977304537976,0.0053740904791111255,1.0,1.0
2023-09-27,0.007662139848875586,0.0015156805721084317,1.0,1.0
2023-09-28,-0.0045844913762945385,0.011986445722766328,1.0,1.0
2023-09-29,-0.015748716084071374,0.014182714783986264,0.9999999999999997,0.9999999999999997
2023-10-02,-0.007123352095399261,0.017113488007044302,0.9999999999999997,0.9999999999999996
2023-10-03,-0.022802379841050782,0.03649808239899089,0.9999999999999999,0.9999999999999998
2023-10-04,-0.022531642229221847,0.00880706048625977,0.9999999999999997,0.9999999999999998
2023-10-05,0.011900619601556138,-0.009709251110992828,0.9999999999999998,0.9999999999999998
2023-10-06,0.005728739773523937,-0.005329427862120857,0.9999999999999998,0.9999999999999998
2023-10-10,0.01347306040448435,0.010283562273308393,1.0,1.0
2023-10-11,0.0008844462759745708,0.0015181724754186425,0.9999999999999998,0.9999999999999998
2023-10-12,0.00860512306665034,-0.0075801884614543295,1.0,1.0
2023-10-13,-0.003156104560569906,0.009081939878673166,0.9999999999999998,0.9999999999999998
2023-10-16,-0.008025513959733483,0.009045586493679338,1.0,1.0
2023-10-17,-0.001841317823965277,0.006552352910610345,1.0,1.0
2023-10-18,-0.0012693055817998235,0.006648065392860711,0.9999999999999998,0.9999999999999999
2023-10-19,-0.0008476611215431488,0.021287497176812473,0.9999999999999999,0.9999999999999998
2023-10-20,0.005274536264010168,-0.002916853576162313,1.0,1.0
2023-10-23,-0.005487089708130813,-0.0009403937298636574,0.9999999999999998,0.9999999999999998
2023-10-24,0.007861117578663174,0.0013360096788917418,0.9999999999999999,1.0
2023-10-25,0.013642911642104552,0.004155536737007344,1.0,1.0
2023-10-26,-0.007223392296650645,0.008872879426541542,1.0,1.0
2023-10-27,0.006289066014861174,-0.0032367552275082054,0.9999999999999999,0.9999999999999998
2023-10-30,0.015799568181720534,-0.0031813347167841725,1.0,1.0
2023-10-31,0.007980924888933351,-0.001299207275897977,1.0,1.0
2023-11-01,0.010585786066109918,-0.004761031071437931,0.9999999999999998,0.9999999999999998
2023-11-02,0.0022630827547299903,0.020773240933083095,0.9999999999999996,0.9999999999999996
2023-11-06,-0.009456940406791589,-0.004784574541867247,0.9999999999999999,0.9999999999999998
2023-11-07,-0.011114728084493326,0.007835665245417038,0.9999999999999998,0.9999999999999999
2023-11-08,-0.021093596807981067,0.029847433890986118,0.9999999999999998,0.9999999999999998
2023-11-09,0.011993060858522345,-0.011848368417249133,1.0,1.0
2023-11-10,0.014310642014511286,-0.0055674889804123336,0.9999999999999999,1.0
2023-11-13,-0.004193506436681671,0.007025095641954405,0.9999999999999998,0.9999999999999999
2023-11-14,0.0014454466881343151,-0.0029251803250592593,1.0,1.0
2023-11-15,-0.007689497197570059,-0.0035384850071157534,1.0,1.0
2023-11-16,-0.002551526668350895,0.0017041120262485292,0.9999999999999998,0.9999999999999998
2023-11-17,0.01782508486791095,-0.007921857278179548,1.0,1.0
2023-11-20,-0.011001051841340415,0.003261689482639806,0.9999999999999998,0.9999999999999998
2023-11-21,0.0021020779461407473,0.004715311469805311,1.0,1.0
2023-11-22,0.009146275475016738,-0.0058836910509576755,0.9999999999999998,0.9999999999999998
2023-11-24,-0.00020717017562104043,0.003085800754988643,1.0,1.0
2023-11-27,-0.005777965581752814,0.005783684419341073,1.0,1.0
2023-11-28,-0.0036568472438797406,0.005514067612583924,1.0,1.0
2023-11-29,0.0015422863365788437,0.004784664313259274,1.0,1.0
2023-11-30,0.010322028672441435,-0.005966767234624098,1.0,1.0
2023-12-01,-0.0003673944817560087,0.004102116017674278,0.9999999999999997,0.9999999999999998
